epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.051,1.58567,1.6319,1.21717,0.87628,0.27627,0.30542,0.18337,1.38927,9.07554,1.08178,0.00333138,0.00333138,0.00333138
2,424.051,1.47294,1.10458,1.12503,0.79144,0.33466,0.33838,0.19842,1.38879,10.4905,1.0715,0.00653275,0.00653275,0.00653275
3,625.41,1.4899,1.06532,1.12942,0.76916,0.34763,0.34939,0.20252,1.41018,8.18587,1.08154,0.00960212,0.00960212,0.00960212
4,826.851,1.47295,1.01368,1.12683,0.68995,0.30576,0.35462,0.21765,1.31793,8.74503,1.05475,0.009406,0.009406,0.009406
5,1030.61,1.40791,0.92737,1.1015,0.58162,0.38634,0.38943,0.23808,1.28978,9.89147,1.03838,0.009208,0.009208,0.009208
6,1231.54,1.35782,0.87459,1.08098,0.75886,0.39569,0.40874,0.25543,1.23568,8.63106,1.01106,0.00901,0.00901,0.00901
7,1431.85,1.32362,0.84413,1.06494,0.77212,0.39503,0.40072,0.25947,1.21082,8.38688,1.01222,0.008812,0.008812,0.008812
8,1631.24,1.29726,0.81722,1.05421,0.79019,0.41831,0.43347,0.27859,1.18316,8.16056,0.99525,0.008614,0.008614,0.008614
9,1830.53,1.27186,0.79428,1.04493,0.80415,0.43107,0.44158,0.28612,1.17551,9.2263,0.98587,0.008416,0.008416,0.008416
10,2030.19,1.25366,0.7793,1.03926,0.81954,0.43066,0.45578,0.29982,1.15274,9.26284,0.98755,0.008218,0.008218,0.008218
11,2230.35,1.23813,0.76469,1.03196,0.82576,0.41941,0.45278,0.2988,1.1378,9.18363,0.97302,0.00802,0.00802,0.00802
12,2431.18,1.22154,0.75245,1.0248,0.81804,0.44091,0.47047,0.30751,1.13987,9.46167,0.97889,0.007822,0.007822,0.007822
13,2632.95,1.20542,0.74094,1.02072,0.80918,0.45233,0.4787,0.31864,1.1157,8.81445,0.96781,0.007624,0.007624,0.007624
14,2834.79,1.1953,0.73294,1.01711,0.82425,0.44758,0.52088,0.34599,1.10957,9.2674,0.96994,0.007426,0.007426,0.007426
15,3037.67,1.1877,0.72556,1.01274,0.82392,0.4453,0.49963,0.3372,1.09524,9.19452,0.96272,0.007228,0.007228,0.007228
16,3240.24,1.17723,0.71711,1.00905,0.83588,0.45414,0.51092,0.3425,1.09838,9.26202,0.96362,0.00703,0.00703,0.00703
17,3443.37,1.16631,0.71184,1.00565,0.83767,0.45204,0.54778,0.3723,1.08497,9.09151,0.96075,0.006832,0.006832,0.006832
18,3646.11,1.15718,0.70264,1.00052,0.82804,0.46827,0.54475,0.3688,1.07188,9.23408,0.9509,0.006634,0.006634,0.006634
19,3847.68,1.14647,0.69325,0.99792,0.83254,0.4587,0.5826,0.39998,1.06926,9.50946,0.95096,0.006436,0.006436,0.006436
20,4049.92,1.13884,0.68903,0.99524,0.84189,0.45529,0.5865,0.40417,1.06,9.50465,0.94922,0.006238,0.006238,0.006238
21,4252.13,1.13559,0.68851,0.99193,0.84343,0.46705,0.5746,0.39283,1.06236,9.39578,0.94479,0.00604,0.00604,0.00604
22,4453.83,1.13008,0.68255,0.99087,0.85168,0.4578,0.615,0.42243,1.05796,9.33839,0.94458,0.005842,0.005842,0.005842
23,4654.45,1.11832,0.67505,0.98757,0.84781,0.46556,0.62842,0.43577,1.0496,9.57531,0.94111,0.005644,0.005644,0.005644
24,4854.98,1.10683,0.6665,0.9848,0.85253,0.46205,0.62718,0.43917,1.0449,9.48578,0.94179,0.005446,0.005446,0.005446
25,5057.83,1.10075,0.66061,0.98027,0.8485,0.46584,0.61901,0.43348,1.03796,9.52304,0.94043,0.005248,0.005248,0.005248
26,5258.08,1.09356,0.65637,0.97734,0.67869,0.63092,0.64613,0.44786,1.03138,9.62558,0.93794,0.00505,0.00505,0.00505
27,5459.86,1.09152,0.65331,0.9756,0.69299,0.62922,0.64754,0.45224,1.03112,9.51076,0.93606,0.004852,0.004852,0.004852
28,5658.84,1.08943,0.65348,0.97685,0.7538,0.60139,0.64556,0.4499,1.02513,9.54887,0.93333,0.004654,0.004654,0.004654
